rate_year,buying_rate
2001,161.94098461538462
2002,180.50668780487803
2003,209.80611844262307
2004,242.6306313253011
2005,237.74766090534985
2006,233.03047613168724
2007,247.4386582608698
2008,215.870029032258
2009,229.36604693877547
2010,228.47942510121453
2011,242.64768223140496
2012,245.54828921161823
2013,242.10066439999997
2014,256.93337044534417
2015,294.3320923076921
2016,337.6084057142854
2017,392.530362195122
2018,407.27021519999994
2019,390.73681440329216
2020,457.1575424489795
